0.000253855	0.0759802	15.1256
0.00201676	0.301109	29.8303
0.00675923	0.671197	44.1182
0.0159101	1.1821	57.9932
0.0308568	1.8297	71.459
0.0529461	2.60993	84.5198
0.083484	3.51875	97.1793
0.123737	4.55219	109.442
0.17493	5.70628	121.311
0.238251	6.9771	132.79
0.314848	8.36079	143.884
0.40583	9.85351	154.596
0.512269	11.4515	164.931
0.635198	13.1509	174.892
0.775613	14.9481	184.483
0.934473	16.8393	193.708
1.1127	18.821	202.571
1.31118	20.8896	211.076
1.53077	23.0414	219.227
1.77228	25.2729	227.028
2.03648	27.5808	234.483
2.32414	29.9615	241.595
2.63594	32.4115	248.368
2.97259	34.9277	254.807
3.33471	37.5066	260.915
3.72292	40.1449	266.697
4.13779	42.8394	272.156
4.57988	45.587	277.296
5.0497	48.3843	282.121
5.54772	51.2283	286.635
6.07441	54.116	290.842
6.63018	57.0442	294.745
7.21541	60.0099	298.35
7.83049	63.0102	301.659
8.47572	66.0421	304.676
9.15142	69.1027	307.407
9.85786	72.1893	309.853
10.5953	75.2989	312.02
11.3639	78.4287	313.911
12.1639	81.5762	315.531
12.9955	84.7384	316.882
13.8587	87.9129	317.969
14.7538	91.097	318.797
15.6807	94.288	319.368
16.6395	97.4835	319.687
17.6304	100.681	319.758
18.6532	103.878	319.584
19.7079	107.072	319.17
20.7946	110.26	318.519
21.9131	113.441	317.636
23.0634	116.612	316.524
24.2453	119.771	315.187
25.4587	122.915	313.63
26.7035	126.043	311.855
27.9795	129.152	309.868
29.2865	132.24	307.671
30.6242	135.305	305.269
31.9925	138.344	302.666
33.391	141.357	299.866
34.8196	144.341	296.872
36.2778	147.294	293.689
37.7653	150.214	290.32
39.2819	153.1	286.769
40.8272	155.949	283.041
42.4008	158.76	279.139
44.0023	161.531	275.067
45.6312	164.261	270.829
47.2873	166.947	266.429
48.97	169.589	261.871
50.6789	172.184	257.158
52.4136	174.731	252.296
54.1734	177.229	247.287
55.958	179.677	242.135
57.7668	182.072	236.845
59.5992	184.413	231.421
61.4548	186.7	225.866
63.333	188.93	220.184
65.2332	191.103	214.379
67.1549	193.217	208.455
69.0974	195.272	202.416
71.0601	197.265	196.266
73.0425	199.197	190.009
75.0438	201.065	183.649
77.0636	202.869	177.189
79.101	204.608	170.634
81.1555	206.282	163.988
83.2264	207.888	157.254
85.313	209.426	150.436
87.4147	210.896	143.539
89.5307	212.297	136.566
91.6604	213.627	129.521
93.803	214.887	122.408
95.9579	216.075	115.231
98.1243	217.192	107.993
100.301	218.235	100.7
102.489	219.205	93.3545
104.685	220.102	85.9605
106.891	220.924	78.5221
109.104	221.672	71.0432
111.324	222.345	63.5277
113.55	222.943	55.9795
115.782	223.465	48.4025
